S40921A,"Unspecified superficial injury of right upper arm, initial encounter"
S41031D,"Puncture wound without foreign body of right shoulder, subsequent encounter"
S41031S,"Puncture wound without foreign body of right shoulder, sequela"
S41032A,"Puncture wound without foreign body of left shoulder, initial encounter"
S41032D,"Puncture wound without foreign body of left shoulder, subsequent encounter"
S41032S,"Puncture wound without foreign body of left shoulder, sequela"
S41039A,"Puncture wound without foreign body of unspecified shoulder, initial encounter"
S41039D,"Puncture wound without foreign body of unspecified shoulder, subsequent encounter"
S41039S,"Puncture wound without foreign body of unspecified shoulder, sequela"
S41041A,"Puncture wound with foreign body of right shoulder, initial encounter"
S41041D,"Puncture wound with foreign body of right shoulder, subsequent encounter"
S41041S,"Puncture wound with foreign body of right shoulder, sequela"
S41042A,"Puncture wound with foreign body of left shoulder, initial encounter"
S41042D,"Puncture wound with foreign body of left shoulder, subsequent encounter"
S41042S,"Puncture wound with foreign body of left shoulder, sequela"
S41049A,"Puncture wound with foreign body of unspecified shoulder, initial encounter"
S41049D,"Puncture wound with foreign body of unspecified shoulder, subsequent encounter"
S41049S,"Puncture wound with foreign body of unspecified shoulder, sequela"
S41051A,"Open bite of right shoulder, initial encounter"
S41051D,"Open bite of right shoulder, subsequent encounter"
S41051S,"Open bite of right shoulder, sequela"
S41052A,"Open bite of left shoulder, initial encounter"
S41052D,"Open bite of left shoulder, subsequent encounter"
S41052S,"Open bite of left shoulder, sequela"
S41059A,"Open bite of unspecified shoulder, initial encounter"
S41059D,"Open bite of unspecified shoulder, subsequent encounter"
S41059S,"Open bite of unspecified shoulder, sequela"
S41101A,"Unspecified open wound of right upper arm, initial encounter"
S41101D,"Unspecified open wound of right upper arm, subsequent encounter"
S41101S,"Unspecified open wound of right upper arm, sequela"
S41102A,"Unspecified open wound of left upper arm, initial encounter"
S41102D,"Unspecified open wound of left upper arm, subsequent encounter"
S41102S,"Unspecified open wound of left upper arm, sequela"
S41109A,"Unspecified open wound of unspecified upper arm, initial encounter"
S41109D,"Unspecified open wound of unspecified upper arm, subsequent encounter"
S41109S,"Unspecified open wound of unspecified upper arm, sequela"
S41111A,"Laceration without foreign body of right upper arm, initial encounter"
S41111D,"Laceration without foreign body of right upper arm, subsequent encounter"
S41111S,"Laceration without foreign body of right upper arm, sequela"
S41112A,"Laceration without foreign body of left upper arm, initial encounter"
S41112D,"Laceration without foreign body of left upper arm, subsequent encounter"
S41112S,"Laceration without foreign body of left upper arm, sequela"
S41119A,"Laceration without foreign body of unspecified upper arm, initial encounter"
S41119D,"Laceration without foreign body of unspecified upper arm, subsequent encounter"
S41119S,"Laceration without foreign body of unspecified upper arm, sequela"
S41121A,"Laceration with foreign body of right upper arm, initial encounter"
S41121D,"Laceration with foreign body of right upper arm, subsequent encounter"
S41121S,"Laceration with foreign body of right upper arm, sequela"
S41122A,"Laceration with foreign body of left upper arm, initial encounter"
S41122D,"Laceration with foreign body of left upper arm, subsequent encounter"
S41122S,"Laceration with foreign body of left upper arm, sequela"
S41129A,"Laceration with foreign body of unspecified upper arm, initial encounter"
S41129D,"Laceration with foreign body of unspecified upper arm, subsequent encounter"
S41129S,"Laceration with foreign body of unspecified upper arm, sequela"
S41131A,"Puncture wound without foreign body of right upper arm, initial encounter"
S41131D,"Puncture wound without foreign body of right upper arm, subsequent encounter"
S41131S,"Puncture wound without foreign body of right upper arm, sequela"
S41132A,"Puncture wound without foreign body of left upper arm, initial encounter"
S41132D,"Puncture wound without foreign body of left upper arm, subsequent encounter"
S41132S,"Puncture wound without foreign body of left upper arm, sequela"
S41139A,"Puncture wound without foreign body of unspecified upper arm, initial encounter"
S41139D,"Puncture wound without foreign body of unspecified upper arm, subsequent encounter"
S41139S,"Puncture wound without foreign body of unspecified upper arm, sequela"
S41141A,"Puncture wound with foreign body of right upper arm, initial encounter"
S41141D,"Puncture wound with foreign body of right upper arm, subsequent encounter"
S41141S,"Puncture wound with foreign body of right upper arm, sequela"
S41142A,"Puncture wound with foreign body of left upper arm, initial encounter"
S41142D,"Puncture wound with foreign body of left upper arm, subsequent encounter"
S41142S,"Puncture wound with foreign body of left upper arm, sequela"
S41149A,"Puncture wound with foreign body of unspecified upper arm, initial encounter"
S41149D,"Puncture wound with foreign body of unspecified upper arm, subsequent encounter"
S41149S,"Puncture wound with foreign body of unspecified upper arm, sequela"
S41151A,"Open bite of right upper arm, initial encounter"
S41151D,"Open bite of right upper arm, subsequent encounter"
S41151S,"Open bite of right upper arm, sequela"
S41152A,"Open bite of left upper arm, initial encounter"
S41152D,"Open bite of left upper arm, subsequent encounter"
S41152S,"Open bite of left upper arm, sequela"
S41159A,"Open bite of unspecified upper arm, initial encounter"
S41159D,"Open bite of unspecified upper arm, subsequent encounter"
S41159S,"Open bite of unspecified upper arm, sequela"
S42001A,"Fracture of unspecified part of right clavicle, initial encounter for closed fracture"
S42001B,"Fracture of unspecified part of right clavicle, initial encounter for open fracture"
S42001D,"Fracture of unspecified part of right clavicle, subsequent encounter for fracture with routine healing"
S42001G,"Fracture of unspecified part of right clavicle, subsequent encounter for fracture with delayed healing"
S42001K,"Fracture of unspecified part of right clavicle, subsequent encounter for fracture with nonunion"
S42001P,"Fracture of unspecified part of right clavicle, subsequent encounter for fracture with malunion"
S42001S,"Fracture of unspecified part of right clavicle, sequela"
S42002A,"Fracture of unspecified part of left clavicle, initial encounter for closed fracture"
S42002B,"Fracture of unspecified part of left clavicle, initial encounter for open fracture"
S42002D,"Fracture of unspecified part of left clavicle, subsequent encounter for fracture with routine healing"
S42002G,"Fracture of unspecified part of left clavicle, subsequent encounter for fracture with delayed healing"
S42002K,"Fracture of unspecified part of left clavicle, subsequent encounter for fracture with nonunion"
S42002P,"Fracture of unspecified part of left clavicle, subsequent encounter for fracture with malunion"
S42002S,"Fracture of unspecified part of left clavicle, sequela"
S42009A,"Fracture of unspecified part of unspecified clavicle, initial encounter for closed fracture"
S42009B,"Fracture of unspecified part of unspecified clavicle, initial encounter for open fracture"
S42009D,"Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42009G,"Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42009K,"Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42009P,"Fracture of unspecified part of unspecified clavicle, subsequent encounter for fracture with malunion"
S42009S,"Fracture of unspecified part of unspecified clavicle, sequela"
S42011A,"Anterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture"
S42011B,"Anterior displaced fracture of sternal end of right clavicle, initial encounter for open fracture"
S42011D,"Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with routine healing"
S42011G,"Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with delayed healing"
S42011K,"Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion"
S42011P,"Anterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion"
S42011S,"Anterior displaced fracture of sternal end of right clavicle, sequela"
S42012A,"Anterior displaced fracture of sternal end of left clavicle, initial encounter for closed fracture"
S42012B,"Anterior displaced fracture of sternal end of left clavicle, initial encounter for open fracture"
S42012D,"Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with routine healing"
S42012G,"Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with delayed healing"
S42012K,"Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion"
S42012P,"Anterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion"
S42012S,"Anterior displaced fracture of sternal end of left clavicle, sequela"
S42013A,"Anterior displaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture"
S42013B,"Anterior displaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture"
S42013D,"Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42013G,"Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42013K,"Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42013P,"Anterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion"
S42013S,"Anterior displaced fracture of sternal end of unspecified clavicle, sequela"
S42014A,"Posterior displaced fracture of sternal end of right clavicle, initial encounter for closed fracture"
S42014B,"Posterior displaced fracture of sternal end of right clavicle, initial encounter for open fracture"
S42014D,"Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with routine healing"
S42014G,"Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with delayed healing"
S42014K,"Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion"
S42014P,"Posterior displaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion"
S42014S,"Posterior displaced fracture of sternal end of right clavicle, sequela"
S42015A,"Posterior displaced fracture of sternal end of left clavicle, initial encounter for closed fracture"
S42015B,"Posterior displaced fracture of sternal end of left clavicle, initial encounter for open fracture"
S42015D,"Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with routine healing"
S42015G,"Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with delayed healing"
S42015K,"Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion"
S42015P,"Posterior displaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion"
S42015S,"Posterior displaced fracture of sternal end of left clavicle, sequela"
S42016A,"Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture"
S42016B,"Posterior displaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture"
S42016D,"Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42016G,"Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42016K,"Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42016P,"Posterior displaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion"
S42016S,"Posterior displaced fracture of sternal end of unspecified clavicle, sequela"
S42017A,"Nondisplaced fracture of sternal end of right clavicle, initial encounter for closed fracture"
S42017B,"Nondisplaced fracture of sternal end of right clavicle, initial encounter for open fracture"
S42017D,"Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with routine healing"
S42017G,"Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with delayed healing"
S42017K,"Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with nonunion"
S42017P,"Nondisplaced fracture of sternal end of right clavicle, subsequent encounter for fracture with malunion"
S42017S,"Nondisplaced fracture of sternal end of right clavicle, sequela"
S42018A,"Nondisplaced fracture of sternal end of left clavicle, initial encounter for closed fracture"
S42018B,"Nondisplaced fracture of sternal end of left clavicle, initial encounter for open fracture"
S42018D,"Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with routine healing"
S42018G,"Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with delayed healing"
S42018K,"Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with nonunion"
S42018P,"Nondisplaced fracture of sternal end of left clavicle, subsequent encounter for fracture with malunion"
S42018S,"Nondisplaced fracture of sternal end of left clavicle, sequela"
S42019A,"Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for closed fracture"
S42019B,"Nondisplaced fracture of sternal end of unspecified clavicle, initial encounter for open fracture"
S42019D,"Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42019G,"Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42019K,"Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42019P,"Nondisplaced fracture of sternal end of unspecified clavicle, subsequent encounter for fracture with malunion"
S42019S,"Nondisplaced fracture of sternal end of unspecified clavicle, sequela"
S42021A,"Displaced fracture of shaft of right clavicle, initial encounter for closed fracture"
S42021B,"Displaced fracture of shaft of right clavicle, initial encounter for open fracture"
S42021D,"Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with routine healing"
S42021G,"Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with delayed healing"
S42021K,"Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with nonunion"
S42021P,"Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with malunion"
S42021S,"Displaced fracture of shaft of right clavicle, sequela"
S42022A,"Displaced fracture of shaft of left clavicle, initial encounter for closed fracture"
S42022B,"Displaced fracture of shaft of left clavicle, initial encounter for open fracture"
S42022D,"Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing"
S42022G,"Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with delayed healing"
S42022K,"Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with nonunion"
S42022P,"Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with malunion"
S42022S,"Displaced fracture of shaft of left clavicle, sequela"
S42023A,"Displaced fracture of shaft of unspecified clavicle, initial encounter for closed fracture"
S42023B,"Displaced fracture of shaft of unspecified clavicle, initial encounter for open fracture"
S42023D,"Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42023G,"Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42023K,"Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42023P,"Displaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with malunion"
S42023S,"Displaced fracture of shaft of unspecified clavicle, sequela"
S42024A,"Nondisplaced fracture of shaft of right clavicle, initial encounter for closed fracture"
S42024B,"Nondisplaced fracture of shaft of right clavicle, initial encounter for open fracture"
S42024D,"Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with routine healing"
S42024G,"Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with delayed healing"
S42024K,"Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with nonunion"
S42024P,"Nondisplaced fracture of shaft of right clavicle, subsequent encounter for fracture with malunion"
S42024S,"Nondisplaced fracture of shaft of right clavicle, sequela"
S42025A,"Nondisplaced fracture of shaft of left clavicle, initial encounter for closed fracture"
S42025B,"Nondisplaced fracture of shaft of left clavicle, initial encounter for open fracture"
S42025D,"Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing"
S42025G,"Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with delayed healing"
S42025K,"Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with nonunion"
S42025P,"Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with malunion"
S42025S,"Nondisplaced fracture of shaft of left clavicle, sequela"
S42026A,"Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for closed fracture"
S42026B,"Nondisplaced fracture of shaft of unspecified clavicle, initial encounter for open fracture"
S42026D,"Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42026G,"Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42026K,"Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42026P,"Nondisplaced fracture of shaft of unspecified clavicle, subsequent encounter for fracture with malunion"
S42026S,"Nondisplaced fracture of shaft of unspecified clavicle, sequela"
S42031A,"Displaced fracture of lateral end of right clavicle, initial encounter for closed fracture"
S42031B,"Displaced fracture of lateral end of right clavicle, initial encounter for open fracture"
S42031D,"Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with routine healing"
S42031G,"Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with delayed healing"
S42031K,"Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with nonunion"
S42031P,"Displaced fracture of lateral end of right clavicle, subsequent encounter for fracture with malunion"
S42031S,"Displaced fracture of lateral end of right clavicle, sequela"
S42032A,"Displaced fracture of lateral end of left clavicle, initial encounter for closed fracture"
S42032B,"Displaced fracture of lateral end of left clavicle, initial encounter for open fracture"
S42032D,"Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with routine healing"
S42032G,"Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with delayed healing"
S42032K,"Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with nonunion"
S42032P,"Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with malunion"
S42032S,"Displaced fracture of lateral end of left clavicle, sequela"
S42033A,"Displaced fracture of lateral end of unspecified clavicle, initial encounter for closed fracture"
S42033B,"Displaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture"
S42033D,"Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42033G,"Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42033K,"Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42033P,"Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with malunion"
S42033S,"Displaced fracture of lateral end of unspecified clavicle, sequela"
S42034A,"Nondisplaced fracture of lateral end of right clavicle, initial encounter for closed fracture"
S42034B,"Nondisplaced fracture of lateral end of right clavicle, initial encounter for open fracture"
S42034D,"Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with routine healing"
S42034G,"Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with delayed healing"
S42034K,"Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with nonunion"
S42034P,"Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with malunion"
S42034S,"Nondisplaced fracture of lateral end of right clavicle, sequela"
S42035A,"Nondisplaced fracture of lateral end of left clavicle, initial encounter for closed fracture"
S42035B,"Nondisplaced fracture of lateral end of left clavicle, initial encounter for open fracture"
S42035D,"Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with routine healing"
S42035G,"Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with delayed healing"
S42035K,"Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with nonunion"
S42035P,"Nondisplaced fracture of lateral end of left clavicle, subsequent encounter for fracture with malunion"
S42035S,"Nondisplaced fracture of lateral end of left clavicle, sequela"
S42036A,"Nondisplaced fracture of lateral end of unspecified clavicle, initial encounter for closed fracture"
S42036B,"Nondisplaced fracture of lateral end of unspecified clavicle, initial encounter for open fracture"
S42036D,"Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with routine healing"
S42036G,"Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with delayed healing"
S42036K,"Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with nonunion"
S42036P,"Nondisplaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with malunion"
S42036S,"Nondisplaced fracture of lateral end of unspecified clavicle, sequela"
S42101A,"Fracture of unspecified part of scapula, right shoulder, initial encounter for closed fracture"
S42101B,"Fracture of unspecified part of scapula, right shoulder, initial encounter for open fracture"
S42101D,"Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with routine healing"
S42101G,"Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with delayed healing"
S42101K,"Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with nonunion"
S42101P,"Fracture of unspecified part of scapula, right shoulder, subsequent encounter for fracture with malunion"
S42101S,"Fracture of unspecified part of scapula, right shoulder, sequela"
S42102A,"Fracture of unspecified part of scapula, left shoulder, initial encounter for closed fracture"
S42102B,"Fracture of unspecified part of scapula, left shoulder, initial encounter for open fracture"
S42102D,"Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with routine healing"
S42102G,"Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with delayed healing"
S42102K,"Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with nonunion"
S42102P,"Fracture of unspecified part of scapula, left shoulder, subsequent encounter for fracture with malunion"
S42102S,"Fracture of unspecified part of scapula, left shoulder, sequela"
S42109A,"Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for closed fracture"
S42109B,"Fracture of unspecified part of scapula, unspecified shoulder, initial encounter for open fracture"
S42109D,"Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing"
S42109G,"Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with delayed healing"
S42109K,"Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion"
S42109P,"Fracture of unspecified part of scapula, unspecified shoulder, subsequent encounter for fracture with malunion"
S42109S,"Fracture of unspecified part of scapula, unspecified shoulder, sequela"
S42111A,"Displaced fracture of body of scapula, right shoulder, initial encounter for closed fracture"
S42111B,"Displaced fracture of body of scapula, right shoulder, initial encounter for open fracture"
S42111D,"Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with routine healing"
S42111G,"Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with delayed healing"
S42111K,"Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with nonunion"
S42111P,"Displaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with malunion"
S42111S,"Displaced fracture of body of scapula, right shoulder, sequela"
S42112A,"Displaced fracture of body of scapula, left shoulder, initial encounter for closed fracture"
S42112B,"Displaced fracture of body of scapula, left shoulder, initial encounter for open fracture"
S42112D,"Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with routine healing"
S42112G,"Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with delayed healing"
S42112K,"Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with nonunion"
S42112P,"Displaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with malunion"
S42112S,"Displaced fracture of body of scapula, left shoulder, sequela"
S42113A,"Displaced fracture of body of scapula, unspecified shoulder, initial encounter for closed fracture"
S42113B,"Displaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture"
S42113D,"Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing"
S42113G,"Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with delayed healing"
S42113K,"Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion"
S42113P,"Displaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with malunion"
S42113S,"Displaced fracture of body of scapula, unspecified shoulder, sequela"
S42114A,"Nondisplaced fracture of body of scapula, right shoulder, initial encounter for closed fracture"
S42114B,"Nondisplaced fracture of body of scapula, right shoulder, initial encounter for open fracture"
S42114D,"Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with routine healing"
S42114G,"Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with delayed healing"
S42114K,"Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with nonunion"
S42114P,"Nondisplaced fracture of body of scapula, right shoulder, subsequent encounter for fracture with malunion"
S42114S,"Nondisplaced fracture of body of scapula, right shoulder, sequela"
S42115A,"Nondisplaced fracture of body of scapula, left shoulder, initial encounter for closed fracture"
S42115B,"Nondisplaced fracture of body of scapula, left shoulder, initial encounter for open fracture"
S42115D,"Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with routine healing"
S42115G,"Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with delayed healing"
S42115K,"Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with nonunion"
S42115P,"Nondisplaced fracture of body of scapula, left shoulder, subsequent encounter for fracture with malunion"
S42115S,"Nondisplaced fracture of body of scapula, left shoulder, sequela"
S42116A,"Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for closed fracture"
S42116B,"Nondisplaced fracture of body of scapula, unspecified shoulder, initial encounter for open fracture"
S42116D,"Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing"
S42116G,"Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with delayed healing"
S42116K,"Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with nonunion"
S42116P,"Nondisplaced fracture of body of scapula, unspecified shoulder, subsequent encounter for fracture with malunion"
S42116S,"Nondisplaced fracture of body of scapula, unspecified shoulder, sequela"
S42121A,"Displaced fracture of acromial process, right shoulder, initial encounter for closed fracture"
S42121B,"Displaced fracture of acromial process, right shoulder, initial encounter for open fracture"
S42121D,"Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with routine healing"
S42121G,"Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with delayed healing"
S42121K,"Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with nonunion"
S42121P,"Displaced fracture of acromial process, right shoulder, subsequent encounter for fracture with malunion"
S42121S,"Displaced fracture of acromial process, right shoulder, sequela"
S42122A,"Displaced fracture of acromial process, left shoulder, initial encounter for closed fracture"
S42122B,"Displaced fracture of acromial process, left shoulder, initial encounter for open fracture"
S42122D,"Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with routine healing"
S42122G,"Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with delayed healing"
S42122K,"Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with nonunion"
S42122P,"Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with malunion"
S42122S,"Displaced fracture of acromial process, left shoulder, sequela"
S42123A,"Displaced fracture of acromial process, unspecified shoulder, initial encounter for closed fracture"
S42123B,"Displaced fracture of acromial process, unspecified shoulder, initial encounter for open fracture"
S42123D,"Displaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with routine healing"
S42123G,"Displaced fracture of acromial process, unspecified shoulder, subsequent encounter for fracture with delayed healing"
