T535X2D,"Toxic effect of chlorofluorocarbons, intentional self-harm, subsequent encounter"
T5391XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, accidental (unintentional), sequela"
T5392XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, initial encounter"
T5392XD,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, subsequent encounter"
T5392XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela"
T5393XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, assault, initial encounter"
T5393XD,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, assault, subsequent encounter"
T5393XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, assault, sequela"
T5394XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, undetermined, initial encounter"
T5394XD,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, undetermined, subsequent encounter"
T5394XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, undetermined, sequela"
T540X1A,"Toxic effect of phenol and phenol homologues, accidental (unintentional), initial encounter"
T540X1D,"Toxic effect of phenol and phenol homologues, accidental (unintentional), subsequent encounter"
T540X1S,"Toxic effect of phenol and phenol homologues, accidental (unintentional), sequela"
T540X2A,"Toxic effect of phenol and phenol homologues, intentional self-harm, initial encounter"
T540X2D,"Toxic effect of phenol and phenol homologues, intentional self-harm, subsequent encounter"
T540X2S,"Toxic effect of phenol and phenol homologues, intentional self-harm, sequela"
T540X3A,"Toxic effect of phenol and phenol homologues, assault, initial encounter"
T540X3D,"Toxic effect of phenol and phenol homologues, assault, subsequent encounter"
T540X3S,"Toxic effect of phenol and phenol homologues, assault, sequela"
T540X4A,"Toxic effect of phenol and phenol homologues, undetermined, initial encounter"
T540X4D,"Toxic effect of phenol and phenol homologues, undetermined, subsequent encounter"
T540X4S,"Toxic effect of phenol and phenol homologues, undetermined, sequela"
T541X1A,"Toxic effect of other corrosive organic compounds, accidental (unintentional), initial encounter"
T541X1D,"Toxic effect of other corrosive organic compounds, accidental (unintentional), subsequent encounter"
T541X1S,"Toxic effect of other corrosive organic compounds, accidental (unintentional), sequela"
T541X2A,"Toxic effect of other corrosive organic compounds, intentional self-harm, initial encounter"
T541X2D,"Toxic effect of other corrosive organic compounds, intentional self-harm, subsequent encounter"
T541X2S,"Toxic effect of other corrosive organic compounds, intentional self-harm, sequela"
T541X3A,"Toxic effect of other corrosive organic compounds, assault, initial encounter"
T541X3D,"Toxic effect of other corrosive organic compounds, assault, subsequent encounter"
T541X3S,"Toxic effect of other corrosive organic compounds, assault, sequela"
T541X4A,"Toxic effect of other corrosive organic compounds, undetermined, initial encounter"
T541X4D,"Toxic effect of other corrosive organic compounds, undetermined, subsequent encounter"
T541X4S,"Toxic effect of other corrosive organic compounds, undetermined, sequela"
T542X1A,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional), initial encounter"
T542X1D,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional), subsequent encounter"
T542X1S,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional), sequela"
T542X2A,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, initial encounter"
T542X2D,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, subsequent encounter"
T542X2S,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela"
T542X3A,"Toxic effect of corrosive acids and acid-like substances, assault, initial encounter"
T542X3D,"Toxic effect of corrosive acids and acid-like substances, assault, subsequent encounter"
T542X3S,"Toxic effect of corrosive acids and acid-like substances, assault, sequela"
T542X4A,"Toxic effect of corrosive acids and acid-like substances, undetermined, initial encounter"
T542X4D,"Toxic effect of corrosive acids and acid-like substances, undetermined, subsequent encounter"
T542X4S,"Toxic effect of corrosive acids and acid-like substances, undetermined, sequela"
T543X1A,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), initial encounter"
T543X1D,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), subsequent encounter"
T543X1S,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), sequela"
T543X2A,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, initial encounter"
T543X2D,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, subsequent encounter"
T543X2S,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela"
T543X3A,"Toxic effect of corrosive alkalis and alkali-like substances, assault, initial encounter"
T543X3D,"Toxic effect of corrosive alkalis and alkali-like substances, assault, subsequent encounter"
T543X3S,"Toxic effect of corrosive alkalis and alkali-like substances, assault, sequela"
T543X4A,"Toxic effect of corrosive alkalis and alkali-like substances, undetermined, initial encounter"
T543X4D,"Toxic effect of corrosive alkalis and alkali-like substances, undetermined, subsequent encounter"
T543X4S,"Toxic effect of corrosive alkalis and alkali-like substances, undetermined, sequela"
T5491XA,"Toxic effect of unspecified corrosive substance, accidental (unintentional), initial encounter"
T5491XD,"Toxic effect of unspecified corrosive substance, accidental (unintentional), subsequent encounter"
T5491XS,"Toxic effect of unspecified corrosive substance, accidental (unintentional), sequela"
T5492XA,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter"
T5492XD,"Toxic effect of unspecified corrosive substance, intentional self-harm, subsequent encounter"
T5492XS,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela"
T5493XA,"Toxic effect of unspecified corrosive substance, assault, initial encounter"
T5493XD,"Toxic effect of unspecified corrosive substance, assault, subsequent encounter"
T5493XS,"Toxic effect of unspecified corrosive substance, assault, sequela"
T5494XA,"Toxic effect of unspecified corrosive substance, undetermined, initial encounter"
T5494XD,"Toxic effect of unspecified corrosive substance, undetermined, subsequent encounter"
T5494XS,"Toxic effect of unspecified corrosive substance, undetermined, sequela"
T550X1A,"Toxic effect of soaps, accidental (unintentional), initial encounter"
T550X1D,"Toxic effect of soaps, accidental (unintentional), subsequent encounter"
T550X1S,"Toxic effect of soaps, accidental (unintentional), sequela"
T550X2A,"Toxic effect of soaps, intentional self-harm, initial encounter"
T550X2D,"Toxic effect of soaps, intentional self-harm, subsequent encounter"
T550X2S,"Toxic effect of soaps, intentional self-harm, sequela"
T550X3A,"Toxic effect of soaps, assault, initial encounter"
T550X3D,"Toxic effect of soaps, assault, subsequent encounter"
T550X3S,"Toxic effect of soaps, assault, sequela"
T550X4A,"Toxic effect of soaps, undetermined, initial encounter"
T550X4D,"Toxic effect of soaps, undetermined, subsequent encounter"
T550X4S,"Toxic effect of soaps, undetermined, sequela"
T551X1A,"Toxic effect of detergents, accidental (unintentional), initial encounter"
T551X1D,"Toxic effect of detergents, accidental (unintentional), subsequent encounter"
T551X1S,"Toxic effect of detergents, accidental (unintentional), sequela"
T551X2A,"Toxic effect of detergents, intentional self-harm, initial encounter"
T551X2D,"Toxic effect of detergents, intentional self-harm, subsequent encounter"
T551X2S,"Toxic effect of detergents, intentional self-harm, sequela"
T551X3A,"Toxic effect of detergents, assault, initial encounter"
T551X3D,"Toxic effect of detergents, assault, subsequent encounter"
T551X3S,"Toxic effect of detergents, assault, sequela"
T551X4A,"Toxic effect of detergents, undetermined, initial encounter"
T551X4D,"Toxic effect of detergents, undetermined, subsequent encounter"
T551X4S,"Toxic effect of detergents, undetermined, sequela"
T560X1A,"Toxic effect of lead and its compounds, accidental (unintentional), initial encounter"
T560X1D,"Toxic effect of lead and its compounds, accidental (unintentional), subsequent encounter"
T560X1S,"Toxic effect of lead and its compounds, accidental (unintentional), sequela"
T560X2A,"Toxic effect of lead and its compounds, intentional self-harm, initial encounter"
T560X2D,"Toxic effect of lead and its compounds, intentional self-harm, subsequent encounter"
T560X2S,"Toxic effect of lead and its compounds, intentional self-harm, sequela"
T560X3A,"Toxic effect of lead and its compounds, assault, initial encounter"
T560X3D,"Toxic effect of lead and its compounds, assault, subsequent encounter"
T560X3S,"Toxic effect of lead and its compounds, assault, sequela"
T560X4A,"Toxic effect of lead and its compounds, undetermined, initial encounter"
T560X4D,"Toxic effect of lead and its compounds, undetermined, subsequent encounter"
T560X4S,"Toxic effect of lead and its compounds, undetermined, sequela"
T561X1A,"Toxic effect of mercury and its compounds, accidental (unintentional), initial encounter"
T561X1D,"Toxic effect of mercury and its compounds, accidental (unintentional), subsequent encounter"
T561X1S,"Toxic effect of mercury and its compounds, accidental (unintentional), sequela"
T561X2A,"Toxic effect of mercury and its compounds, intentional self-harm, initial encounter"
T561X2D,"Toxic effect of mercury and its compounds, intentional self-harm, subsequent encounter"
T561X2S,"Toxic effect of mercury and its compounds, intentional self-harm, sequela"
T561X3A,"Toxic effect of mercury and its compounds, assault, initial encounter"
T561X3D,"Toxic effect of mercury and its compounds, assault, subsequent encounter"
T561X3S,"Toxic effect of mercury and its compounds, assault, sequela"
T561X4A,"Toxic effect of mercury and its compounds, undetermined, initial encounter"
T561X4D,"Toxic effect of mercury and its compounds, undetermined, subsequent encounter"
T561X4S,"Toxic effect of mercury and its compounds, undetermined, sequela"
T562X1A,"Toxic effect of chromium and its compounds, accidental (unintentional), initial encounter"
T562X1D,"Toxic effect of chromium and its compounds, accidental (unintentional), subsequent encounter"
T562X1S,"Toxic effect of chromium and its compounds, accidental (unintentional), sequela"
T562X2A,"Toxic effect of chromium and its compounds, intentional self-harm, initial encounter"
T562X2D,"Toxic effect of chromium and its compounds, intentional self-harm, subsequent encounter"
T562X2S,"Toxic effect of chromium and its compounds, intentional self-harm, sequela"
T562X3A,"Toxic effect of chromium and its compounds, assault, initial encounter"
T562X3D,"Toxic effect of chromium and its compounds, assault, subsequent encounter"
T562X3S,"Toxic effect of chromium and its compounds, assault, sequela"
T562X4A,"Toxic effect of chromium and its compounds, undetermined, initial encounter"
T562X4D,"Toxic effect of chromium and its compounds, undetermined, subsequent encounter"
T562X4S,"Toxic effect of chromium and its compounds, undetermined, sequela"
T563X1A,"Toxic effect of cadmium and its compounds, accidental (unintentional), initial encounter"
T563X1D,"Toxic effect of cadmium and its compounds, accidental (unintentional), subsequent encounter"
T563X1S,"Toxic effect of cadmium and its compounds, accidental (unintentional), sequela"
T563X2A,"Toxic effect of cadmium and its compounds, intentional self-harm, initial encounter"
T563X2D,"Toxic effect of cadmium and its compounds, intentional self-harm, subsequent encounter"
T563X2S,"Toxic effect of cadmium and its compounds, intentional self-harm, sequela"
T563X3A,"Toxic effect of cadmium and its compounds, assault, initial encounter"
T563X3D,"Toxic effect of cadmium and its compounds, assault, subsequent encounter"
T563X3S,"Toxic effect of cadmium and its compounds, assault, sequela"
T563X4A,"Toxic effect of cadmium and its compounds, undetermined, initial encounter"
T563X4D,"Toxic effect of cadmium and its compounds, undetermined, subsequent encounter"
T563X4S,"Toxic effect of cadmium and its compounds, undetermined, sequela"
T564X1A,"Toxic effect of copper and its compounds, accidental (unintentional), initial encounter"
T564X1D,"Toxic effect of copper and its compounds, accidental (unintentional), subsequent encounter"
T564X1S,"Toxic effect of copper and its compounds, accidental (unintentional), sequela"
T564X2A,"Toxic effect of copper and its compounds, intentional self-harm, initial encounter"
T564X2D,"Toxic effect of copper and its compounds, intentional self-harm, subsequent encounter"
T564X2S,"Toxic effect of copper and its compounds, intentional self-harm, sequela"
T564X3A,"Toxic effect of copper and its compounds, assault, initial encounter"
T564X3D,"Toxic effect of copper and its compounds, assault, subsequent encounter"
T564X3S,"Toxic effect of copper and its compounds, assault, sequela"
T564X4A,"Toxic effect of copper and its compounds, undetermined, initial encounter"
T564X4D,"Toxic effect of copper and its compounds, undetermined, subsequent encounter"
T564X4S,"Toxic effect of copper and its compounds, undetermined, sequela"
T565X1A,"Toxic effect of zinc and its compounds, accidental (unintentional), initial encounter"
T565X1D,"Toxic effect of zinc and its compounds, accidental (unintentional), subsequent encounter"
T565X1S,"Toxic effect of zinc and its compounds, accidental (unintentional), sequela"
T565X2A,"Toxic effect of zinc and its compounds, intentional self-harm, initial encounter"
T565X2D,"Toxic effect of zinc and its compounds, intentional self-harm, subsequent encounter"
T565X2S,"Toxic effect of zinc and its compounds, intentional self-harm, sequela"
T565X3A,"Toxic effect of zinc and its compounds, assault, initial encounter"
T565X3D,"Toxic effect of zinc and its compounds, assault, subsequent encounter"
T565X3S,"Toxic effect of zinc and its compounds, assault, sequela"
T565X4A,"Toxic effect of zinc and its compounds, undetermined, initial encounter"
T565X4D,"Toxic effect of zinc and its compounds, undetermined, subsequent encounter"
T565X4S,"Toxic effect of zinc and its compounds, undetermined, sequela"
T566X1A,"Toxic effect of tin and its compounds, accidental (unintentional), initial encounter"
T566X1D,"Toxic effect of tin and its compounds, accidental (unintentional), subsequent encounter"
T566X1S,"Toxic effect of tin and its compounds, accidental (unintentional), sequela"
T566X2A,"Toxic effect of tin and its compounds, intentional self-harm, initial encounter"
T566X2D,"Toxic effect of tin and its compounds, intentional self-harm, subsequent encounter"
T566X2S,"Toxic effect of tin and its compounds, intentional self-harm, sequela"
T566X3A,"Toxic effect of tin and its compounds, assault, initial encounter"
T566X3D,"Toxic effect of tin and its compounds, assault, subsequent encounter"
T566X3S,"Toxic effect of tin and its compounds, assault, sequela"
T566X4A,"Toxic effect of tin and its compounds, undetermined, initial encounter"
T566X4D,"Toxic effect of tin and its compounds, undetermined, subsequent encounter"
T566X4S,"Toxic effect of tin and its compounds, undetermined, sequela"
T567X1A,"Toxic effect of beryllium and its compounds, accidental (unintentional), initial encounter"
T567X1D,"Toxic effect of beryllium and its compounds, accidental (unintentional), subsequent encounter"
T567X1S,"Toxic effect of beryllium and its compounds, accidental (unintentional), sequela"
T567X2A,"Toxic effect of beryllium and its compounds, intentional self-harm, initial encounter"
T567X2D,"Toxic effect of beryllium and its compounds, intentional self-harm, subsequent encounter"
T567X2S,"Toxic effect of beryllium and its compounds, intentional self-harm, sequela"
T567X3A,"Toxic effect of beryllium and its compounds, assault, initial encounter"
T567X3D,"Toxic effect of beryllium and its compounds, assault, subsequent encounter"
T567X3S,"Toxic effect of beryllium and its compounds, assault, sequela"
T567X4A,"Toxic effect of beryllium and its compounds, undetermined, initial encounter"
T567X4D,"Toxic effect of beryllium and its compounds, undetermined, subsequent encounter"
T567X4S,"Toxic effect of beryllium and its compounds, undetermined, sequela"
T56811A,"Toxic effect of thallium, accidental (unintentional), initial encounter"
T56811D,"Toxic effect of thallium, accidental (unintentional), subsequent encounter"
T56811S,"Toxic effect of thallium, accidental (unintentional), sequela"
T56812A,"Toxic effect of thallium, intentional self-harm, initial encounter"
T56812D,"Toxic effect of thallium, intentional self-harm, subsequent encounter"
T56812S,"Toxic effect of thallium, intentional self-harm, sequela"
T56813A,"Toxic effect of thallium, assault, initial encounter"
T56813D,"Toxic effect of thallium, assault, subsequent encounter"
T56813S,"Toxic effect of thallium, assault, sequela"
T56814A,"Toxic effect of thallium, undetermined, initial encounter"
T56814D,"Toxic effect of thallium, undetermined, subsequent encounter"
T56814S,"Toxic effect of thallium, undetermined, sequela"
T56891A,"Toxic effect of other metals, accidental (unintentional), initial encounter"
T56891D,"Toxic effect of other metals, accidental (unintentional), subsequent encounter"
T56891S,"Toxic effect of other metals, accidental (unintentional), sequela"
T56892A,"Toxic effect of other metals, intentional self-harm, initial encounter"
T56892D,"Toxic effect of other metals, intentional self-harm, subsequent encounter"
T56892S,"Toxic effect of other metals, intentional self-harm, sequela"
T56893A,"Toxic effect of other metals, assault, initial encounter"
T56893D,"Toxic effect of other metals, assault, subsequent encounter"
T56893S,"Toxic effect of other metals, assault, sequela"
T56894A,"Toxic effect of other metals, undetermined, initial encounter"
T56894D,"Toxic effect of other metals, undetermined, subsequent encounter"
T56894S,"Toxic effect of other metals, undetermined, sequela"
T5691XA,"Toxic effect of unspecified metal, accidental (unintentional), initial encounter"
T5691XD,"Toxic effect of unspecified metal, accidental (unintentional), subsequent encounter"
T5691XS,"Toxic effect of unspecified metal, accidental (unintentional), sequela"
T5692XA,"Toxic effect of unspecified metal, intentional self-harm, initial encounter"
T5692XD,"Toxic effect of unspecified metal, intentional self-harm, subsequent encounter"
T5692XS,"Toxic effect of unspecified metal, intentional self-harm, sequela"
T5693XA,"Toxic effect of unspecified metal, assault, initial encounter"
T5693XD,"Toxic effect of unspecified metal, assault, subsequent encounter"
T5693XS,"Toxic effect of unspecified metal, assault, sequela"
T5694XA,"Toxic effect of unspecified metal, undetermined, initial encounter"
T5694XD,"Toxic effect of unspecified metal, undetermined, subsequent encounter"
T5694XS,"Toxic effect of unspecified metal, undetermined, sequela"
T570X1A,"Toxic effect of arsenic and its compounds, accidental (unintentional), initial encounter"
T570X1D,"Toxic effect of arsenic and its compounds, accidental (unintentional), subsequent encounter"
T570X1S,"Toxic effect of arsenic and its compounds, accidental (unintentional), sequela"
T570X2A,"Toxic effect of arsenic and its compounds, intentional self-harm, initial encounter"
T570X2D,"Toxic effect of arsenic and its compounds, intentional self-harm, subsequent encounter"
T570X2S,"Toxic effect of arsenic and its compounds, intentional self-harm, sequela"
T570X3A,"Toxic effect of arsenic and its compounds, assault, initial encounter"
T570X3D,"Toxic effect of arsenic and its compounds, assault, subsequent encounter"
T570X3S,"Toxic effect of arsenic and its compounds, assault, sequela"
T570X4A,"Toxic effect of arsenic and its compounds, undetermined, initial encounter"
T570X4D,"Toxic effect of arsenic and its compounds, undetermined, subsequent encounter"
T570X4S,"Toxic effect of arsenic and its compounds, undetermined, sequela"
T571X1A,"Toxic effect of phosphorus and its compounds, accidental (unintentional), initial encounter"
T571X1D,"Toxic effect of phosphorus and its compounds, accidental (unintentional), subsequent encounter"
T571X1S,"Toxic effect of phosphorus and its compounds, accidental (unintentional), sequela"
T571X2A,"Toxic effect of phosphorus and its compounds, intentional self-harm, initial encounter"
T571X2D,"Toxic effect of phosphorus and its compounds, intentional self-harm, subsequent encounter"
T571X2S,"Toxic effect of phosphorus and its compounds, intentional self-harm, sequela"
T571X3A,"Toxic effect of phosphorus and its compounds, assault, initial encounter"
T571X3D,"Toxic effect of phosphorus and its compounds, assault, subsequent encounter"
T571X3S,"Toxic effect of phosphorus and its compounds, assault, sequela"
T571X4A,"Toxic effect of phosphorus and its compounds, undetermined, initial encounter"
T571X4D,"Toxic effect of phosphorus and its compounds, undetermined, subsequent encounter"
T571X4S,"Toxic effect of phosphorus and its compounds, undetermined, sequela"
T572X1A,"Toxic effect of manganese and its compounds, accidental (unintentional), initial encounter"
T572X1D,"Toxic effect of manganese and its compounds, accidental (unintentional), subsequent encounter"
T572X1S,"Toxic effect of manganese and its compounds, accidental (unintentional), sequela"
T572X2A,"Toxic effect of manganese and its compounds, intentional self-harm, initial encounter"
T572X2D,"Toxic effect of manganese and its compounds, intentional self-harm, subsequent encounter"
T572X2S,"Toxic effect of manganese and its compounds, intentional self-harm, sequela"
T572X3A,"Toxic effect of manganese and its compounds, assault, initial encounter"
T572X3D,"Toxic effect of manganese and its compounds, assault, subsequent encounter"
T572X3S,"Toxic effect of manganese and its compounds, assault, sequela"
T572X4A,"Toxic effect of manganese and its compounds, undetermined, initial encounter"
T572X4D,"Toxic effect of manganese and its compounds, undetermined, subsequent encounter"
T572X4S,"Toxic effect of manganese and its compounds, undetermined, sequela"
T573X1A,"Toxic effect of hydrogen cyanide, accidental (unintentional), initial encounter"
T573X1D,"Toxic effect of hydrogen cyanide, accidental (unintentional), subsequent encounter"
T573X1S,"Toxic effect of hydrogen cyanide, accidental (unintentional), sequela"
T573X2A,"Toxic effect of hydrogen cyanide, intentional self-harm, initial encounter"
T573X2D,"Toxic effect of hydrogen cyanide, intentional self-harm, subsequent encounter"
T573X2S,"Toxic effect of hydrogen cyanide, intentional self-harm, sequela"
T573X3A,"Toxic effect of hydrogen cyanide, assault, initial encounter"
T573X3D,"Toxic effect of hydrogen cyanide, assault, subsequent encounter"
T573X3S,"Toxic effect of hydrogen cyanide, assault, sequela"
T573X4A,"Toxic effect of hydrogen cyanide, undetermined, initial encounter"
T573X4D,"Toxic effect of hydrogen cyanide, undetermined, subsequent encounter"
T573X4S,"Toxic effect of hydrogen cyanide, undetermined, sequela"
T578X1A,"Toxic effect of other specified inorganic substances, accidental (unintentional), initial encounter"
T578X1D,"Toxic effect of other specified inorganic substances, accidental (unintentional), subsequent encounter"
T578X1S,"Toxic effect of other specified inorganic substances, accidental (unintentional), sequela"
T578X2A,"Toxic effect of other specified inorganic substances, intentional self-harm, initial encounter"
T578X2D,"Toxic effect of other specified inorganic substances, intentional self-harm, subsequent encounter"
T578X2S,"Toxic effect of other specified inorganic substances, intentional self-harm, sequela"
T578X3A,"Toxic effect of other specified inorganic substances, assault, initial encounter"
T578X3D,"Toxic effect of other specified inorganic substances, assault, subsequent encounter"
T578X3S,"Toxic effect of other specified inorganic substances, assault, sequela"
T578X4A,"Toxic effect of other specified inorganic substances, undetermined, initial encounter"
T578X4D,"Toxic effect of other specified inorganic substances, undetermined, subsequent encounter"
T578X4S,"Toxic effect of other specified inorganic substances, undetermined, sequela"
T5791XA,"Toxic effect of unspecified inorganic substance, accidental (unintentional), initial encounter"
T5791XD,"Toxic effect of unspecified inorganic substance, accidental (unintentional), subsequent encounter"
T5791XS,"Toxic effect of unspecified inorganic substance, accidental (unintentional), sequela"
T5792XA,"Toxic effect of unspecified inorganic substance, intentional self-harm, initial encounter"
T5792XD,"Toxic effect of unspecified inorganic substance, intentional self-harm, subsequent encounter"
T5792XS,"Toxic effect of unspecified inorganic substance, intentional self-harm, sequela"
T5793XA,"Toxic effect of unspecified inorganic substance, assault, initial encounter"
T5793XD,"Toxic effect of unspecified inorganic substance, assault, subsequent encounter"
T5793XS,"Toxic effect of unspecified inorganic substance, assault, sequela"
T5794XA,"Toxic effect of unspecified inorganic substance, undetermined, initial encounter"
T5794XD,"Toxic effect of unspecified inorganic substance, undetermined, subsequent encounter"
T5794XS,"Toxic effect of unspecified inorganic substance, undetermined, sequela"
T5801XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, accidental (unintentional), initial encounter"
T5801XD,"Toxic effect of carbon monoxide from motor vehicle exhaust, accidental (unintentional), subsequent encounter"
T5801XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, accidental (unintentional), sequela"
T5802XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, initial encounter"
T5802XD,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, subsequent encounter"
T5802XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela"
T5803XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, assault, initial encounter"
T5803XD,"Toxic effect of carbon monoxide from motor vehicle exhaust, assault, subsequent encounter"
T5803XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, assault, sequela"
T5804XA,"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined, initial encounter"
T5804XD,"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined, subsequent encounter"
T5804XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined, sequela"
T5811XA,"Toxic effect of carbon monoxide from utility gas, accidental (unintentional), initial encounter"
T5811XD,"Toxic effect of carbon monoxide from utility gas, accidental (unintentional), subsequent encounter"
T5811XS,"Toxic effect of carbon monoxide from utility gas, accidental (unintentional), sequela"
T5812XA,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, initial encounter"
T5812XD,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, subsequent encounter"
T5812XS,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, sequela"
T5813XA,"Toxic effect of carbon monoxide from utility gas, assault, initial encounter"
T5813XD,"Toxic effect of carbon monoxide from utility gas, assault, subsequent encounter"
T5813XS,"Toxic effect of carbon monoxide from utility gas, assault, sequela"
T5814XA,"Toxic effect of carbon monoxide from utility gas, undetermined, initial encounter"
T5814XD,"Toxic effect of carbon monoxide from utility gas, undetermined, subsequent encounter"
T5814XS,"Toxic effect of carbon monoxide from utility gas, undetermined, sequela"
T582X1A,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional), initial encounter"
T582X1D,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional), subsequent encounter"
T582X1S,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional), sequela"
T582X2A,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, initial encounter"
T582X2D,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, subsequent encounter"
